deflactor,year
8128.114469685981,1970
7744.011499319722,1971
7336.123057332058,1972
6044.428653977144,1973
5011.964058024165,1974
4502.707805250351,1975
3539.8646267691433,1976
2933.7515554194792,1977
2525.395158319256,1978
2104.1452743869822,1979
1620.4430299476182,1980
1259.2811858467658,1981
633.3138130390092,1982
350.32294116551014,1983
220.10740208941326,1984
134.41673410040505,1985
65.33012592972297,1986
25.207441420582235,1987
16.62102164089558,1988
13.885565280614518,1989
10.686958578168642,1990
8.99651366122455,1991
8.036906969112517,1992
7.440891555515707,1993
6.950856193849329,1994
4.5738344369608015,1995
3.5817027697422104,1996
3.0951458431923697,1997
2.609515085736759,1998
2.3232862230562312,1999
2.1322377230692284,2000
2.042373297959031,2001
1.9322358542658764,2002
1.8582764514963226,2003
1.7665904092559392,2004
1.7096587721435585,2005
1.6431127074902054,2006
1.5835704582596428,2007
1.486501885158775,2008
1.4352629961946266,2009
1.3747729848607535,2010
1.3241889663463238,2011
1.2785449129538704,2012
1.2297248369278353,2013
1.1815188671481893,2014
1.1568773789760003,2015
1.11926991,2016
1.0483,2017
1.0,2018
0.9671,2019
